Title,description,price,Capacity,Grape,closure,country,Characteristics,type,ABV,region,style,vintage
Richebaron Rouge,"Richebaron Rouge (Amarone) is a refined red wine from France, specifically the Limoux region. Produced from the 1999 vintage, it offers flavors of vanilla, honey, chocolate and is best described as Rich & Juicy. Alcohol content: 13.5%.",$40.64,0.75,Amarone,Natural Cork,France,"vanilla, honey, chocolate",Red,13.5%,Limoux,Rich & Juicy,1999
Don Simon Nature Tempranillo,"Don Simon Nature Tempranillo (Tempranillo) is a refined red wine from South Africa, specifically the Robertson region. Produced from the 2021 vintage, it offers flavors of tropical fruit, nuts, tobacco and is best described as Crisp & Zesty. Alcohol content: 12.5%.",$7.60,0.75,Tempranillo,Natural Cork,South Africa,"tropical fruit, nuts, tobacco",Red,12.5%,Robertson,Crisp & Zesty,2021
Don Simon Nature Chardonnay,"Don Simon Nature Chardonnay (Chardonnay) is a refined white wine from South Africa, specifically the Elgin region. Produced from the 2018 vintage, it offers flavors of strawberry, lemon zest, blackberry and is best described as Light & Refreshing. Alcohol content: 13.5%.",$42.09,0.75,Chardonnay,Natural Cork,South Africa,"strawberry, lemon zest, blackberry",White,13.5%,Elgin,Light & Refreshing,2018
Don Simon Nature Cabernet Sauvignon,"Don Simon Nature Cabernet Sauvignon (Cabernet Sauvignon) is a refined red wine from Spain, specifically the Galicia region. Produced from the 2024 vintage, it offers flavors of pepper, black currant, passion fruit and is best described as Aromatic & Floral. Alcohol content: 14.5%.",$55.00,0.75,Cabernet Sauvignon,Natural Cork,Spain,"pepper, black currant, passion fruit",Red,14.5%,Galicia,Aromatic & Floral,2024
Don Simon Nature Merlot,"Don Simon Nature Merlot (Merlot) is a refined red wine from Hungary, specifically the H region. Produced from the 2023 vintage, it offers flavors of vanilla, date, coffee and is best described as Rich & Toasty. Alcohol content: 13.5%.",$26.00,0.75,Merlot,Natural Cork,Hungary,"vanilla, date, coffee",Red,13.5%,H,Rich & Toasty,2023
Don Simon Nature Sauvignon Blanc,"Don Simon Nature Sauvignon Blanc (Sauvignon Blanc) is a refined white wine from Georgia, specifically the K region. Produced from the 1998 vintage, it offers flavors of honey, red fruit, incense and is best described as Aromatic & Floral. Alcohol content: 11.5%.",$48.21,0.75,Sauvignon Blanc,Natural Cork,Georgia,"honey, red fruit, incense",White,11.5%,K,Aromatic & Floral,1998
Azevinho Vinho Verde Rose,"Azevinho Vinho Verde Rose (Negroamaro) is a refined rose wine from Georgia, specifically the r region. Produced from the 2015 vintage, it offers flavors of spice, spice, cinnamon and is best described as Ripe & Rounded. Alcohol content: 11.0%.",$36.00,0.7,Negroamaro,Natural Cork,Georgia,"spice, spice, cinnamon",Rose,11.0%,r,Ripe & Rounded,2015
Geo Alazani Valley white,"Geo Alazani Valley white (Pinot Grigio) is a refined white wine from Georgia, specifically the K region. Produced from the 2016 vintage, it offers flavors of ginger, earth, raisin and is best described as Ripe & Rounded. Alcohol content: 13.0%.",$26.00,0.75,Pinot Grigio,Natural Cork,Georgia,"ginger, earth, raisin",White,13.0%,K,Ripe & Rounded,2016
Free Feather Alcoholfree Chardonnay   безалкогольне,"Free Feather Alcoholfree Chardonnay   безалкогольне (Chardonnay) is a refined white wine from France, specifically the Bourgogne region. Produced from the 2005 vintage, it offers flavors of nuts, nuts, raspberry and is best described as Light & Elegant. Alcohol content: 13.0%.",$40.21,0.75,Chardonnay,Natural Cork,France,"nuts, nuts, raspberry",White,13.0%,Bourgogne,Light & Elegant,2005
Geo Alazani Valley red,"Geo Alazani Valley red (Tannat) is a refined red wine from Georgia, specifically the e region. Produced from the 2012 vintage, it offers flavors of plum, blackberry, oak and is best described as Bold & Spicy. Alcohol content: 12.0%.",$18.00,0.75,Tannat,Natural Cork,Georgia,"plum, blackberry, oak",Red,12.0%,e,Bold & Spicy,2012
Free Feather Alcoholfree Blush   безалкогольне,"Free Feather Alcoholfree Blush   безалкогольне (Nebbiolo) is a refined rose wine from England, specifically the Hampshire region. Produced from the 2004 vintage, it offers flavors of flint, vanilla, mint and is best described as Ripe & Fruity. Alcohol content: 15.0%.",$32.00,0.75,Nebbiolo,Natural Cork,England,"flint, vanilla, mint",Rose,15.0%,Hampshire,Ripe & Fruity,2004
Azevinho Vinho Verde Branco,"Azevinho Vinho Verde Branco (Sauvignon Blanc) is a refined white wine from Spain, specifically the Catalunya region. Produced from the 2012 vintage, it offers flavors of blackberry, pepper, mushrooms and is best described as Smooth & Mellow. Alcohol content: 14.0%.",$32.30,0.7,Sauvignon Blanc,Natural Cork,Spain,"blackberry, pepper, mushrooms",White,14.0%,Catalunya,Smooth & Mellow,2012
Latinium Liebfraumilch,"Latinium Liebfraumilch (Albarino) is a refined white wine from Slovenia, specifically the e region. Produced from the 2021 vintage, it offers flavors of honey, red berries, grape and is best described as Smooth & Mellow. Alcohol content: 13.5%.",$33.00,0.75,Albarino,Natural Cork,Slovenia,"honey, red berries, grape",White,13.5%,e,Smooth & Mellow,2021
Geo Rkatsiteli,"Geo Rkatsiteli (Verdejo) is a refined white wine from Georgia, specifically the r region. Produced from the 2019 vintage, it offers flavors of honey, lemon zest, black fruit and is best described as Delicate & Dry. Alcohol content: 12.0%.",$29.21,0.75,Verdejo,Natural Cork,Georgia,"honey, lemon zest, black fruit",White,12.0%,r,Delicate & Dry,2019
Casa Valdes Blanco,"Casa Valdes Blanco (Frascati) is a refined white wine from Chile, specifically the North region. Produced from the 2009 vintage, it offers flavors of spice, nuts, spice and is best described as Smooth & Mellow. Alcohol content: 14.5%.",$29.00,0.75,Frascati,Natural Cork,Chile,"spice, nuts, spice",White,14.5%,North,Smooth & Mellow,2009
Casa Valdes Tinto,"Casa Valdes Tinto (Barbera) is a refined red wine from England, specifically the Surrey region. Produced from the 2006 vintage, it offers flavors of raspberry, peanut, green apple and is best described as Light & Elegant. Alcohol content: 14.5%.",$7.00,0.75,Barbera,Natural Cork,England,"raspberry, peanut, green apple",Red,14.5%,Surrey,Light & Elegant,2006
Latinium Gewurztraminer,"Latinium Gewurztraminer (Riesling) is a refined white wine from Greece, specifically the c region. Produced from the 2004 vintage, it offers flavors of perfume, fruit, minerals and is best described as Aromatic & Floral. Alcohol content: 12.5%.",$26.00,0.75,Riesling,Natural Cork,Greece,"perfume, fruit, minerals",White,12.5%,c,Aromatic & Floral,2004
El Coto Maximo Tinto,"El Coto Maximo Tinto (Aglianico) is a refined red wine from Greece, specifically the c region. Produced from the 2005 vintage, it offers flavors of hazelnut, pear, caramel and is best described as Ripe & Fruity. Alcohol content: 12.0%.",$10.00,0.75,Aglianico,Natural Cork,Greece,"hazelnut, pear, caramel",Red,12.0%,c,Ripe & Fruity,2005
El Coto Maximo Blanco,"El Coto Maximo Blanco (Trebbiano) is a refined white wine from Romania, specifically the a region. Produced from the 2004 vintage, it offers flavors of peach, minerals, fruit and is best described as Soft & Fruity. Alcohol content: 14.5%.",$57.00,0.75,Trebbiano,Natural Cork,Romania,"peach, minerals, fruit",White,14.5%,a,Soft & Fruity,2004
Holden James Alcoholfree Sauvignon Blanc   безалкогольне,"Holden James Alcoholfree Sauvignon Blanc   безалкогольне (Sauvignon Blanc) is a refined white wine from France, specifically the Dordogne region. Produced from the 2003 vintage, it offers flavors of spice, peanut, asparagus and is best described as Rich & Toasty. Alcohol content: 14.5%.",$25.08,0.75,Sauvignon Blanc,Natural Cork,France,"spice, peanut, asparagus",White,14.5%,Dordogne,Rich & Toasty,2003
Holden James Alcoholfree Cabernet Sauvignon   безалкогольне,"Holden James Alcoholfree Cabernet Sauvignon   безалкогольне (Cabernet Sauvignon) is a refined red wine from France, specifically the Bourgogne region. Produced from the 2012 vintage, it offers flavors of passion fruit, nuts, caramel and is best described as Crisp & Zesty. Alcohol content: 11.5%.",$37.00,0.75,Cabernet Sauvignon,Natural Cork,France,"passion fruit, nuts, caramel",Red,11.5%,Bourgogne,Crisp & Zesty,2012
Frontera Carmenere,"Frontera Carmenere (Carmenere) is a refined red wine from Chile, specifically the Central Valley region. Produced from the 2006 vintage, it offers flavors of plum, minerals, clove and is best described as Aromatic & Floral. Alcohol content: 15.0%.",$17.82,0.75,Carmenere,Natural Cork,Chile,"plum, minerals, clove",Red,15.0%,Central Valley,Aromatic & Floral,2006
Vieux Papes Rouge,"Vieux Papes Rouge (Syrah) is a refined red wine from Lebanon, specifically the a region. Produced from the 2018 vintage, it offers flavors of mushrooms, minerals, red fruit and is best described as Ripe & Fruity. Alcohol content: 13.5%.",$14.14,0.75,Syrah,Natural Cork,Lebanon,"mushrooms, minerals, red fruit",Red,13.5%,a,Ripe & Fruity,2018
Vieux Papes Blanc,"Vieux Papes Blanc (Pinot Grigio) is a refined white wine from Greece, specifically the c region. Produced from the 2023 vintage, it offers flavors of fig, fruit, earth and is best described as Soft & Fruity. Alcohol content: 13.5%.",$48.60,0.75,Pinot Grigio,Natural Cork,Greece,"fig, fruit, earth",White,13.5%,c,Soft & Fruity,2023
Vieux Papes Blanc Medium Sweet,"Vieux Papes Blanc Medium Sweet (Torrontes) is a refined white wine from Australia, specifically the Western Australia region. Produced from the 2012 vintage, it offers flavors of black fruit, spice, green pepper and is best described as Rich & Juicy. Alcohol content: 12.5%.",$26.00,0.75,Torrontes,Natural Cork,Australia,"black fruit, spice, green pepper",White,12.5%,Western Australia,Rich & Juicy,2012
Vieux Papes Rouge Medium Sweet,"Vieux Papes Rouge Medium Sweet (Barbera) is a refined red wine from South Africa, specifically the Robertson region. Produced from the 2009 vintage, it offers flavors of clove, flowers, hazelnut and is best described as Delicate & Dry. Alcohol content: 15.0%.",$18.00,0.75,Barbera,Natural Cork,South Africa,"clove, flowers, hazelnut",Red,15.0%,Robertson,Delicate & Dry,2009
Latinium Red Medium Sweet,"Latinium Red Medium Sweet (Marsala) is a refined red wine from Italy, specifically the Veneto region. Produced from the 2003 vintage, it offers flavors of oak, red berries, violet and is best described as Crisp & Zesty. Alcohol content: 11.5%.",$30.67,0.75,Marsala,Natural Cork,Italy,"oak, red berries, violet",Red,11.5%,Veneto,Crisp & Zesty,2003
Frontera Cabernet Sauvignon,"Frontera Cabernet Sauvignon (Cabernet Sauvignon) is a refined red wine from Chile, specifically the Central Valley region. Produced from the 2020 vintage, it offers flavors of almond, leather, violet and is best described as Rich & Toasty. Alcohol content: 11.0%.",$43.00,0.75,Cabernet Sauvignon,Natural Cork,Chile,"almond, leather, violet",Red,11.0%,Central Valley,Rich & Toasty,2020
Frontera Chardonnay,"Frontera Chardonnay (Chardonnay) is a refined white wine from Chile, specifically the North region. Produced from the 2022 vintage, it offers flavors of violet, coffee, fruit and is best described as Savoury & Full Bodied. Alcohol content: 15.0%.",$33.00,0.75,Chardonnay,Natural Cork,Chile,"violet, coffee, fruit",White,15.0%,North,Savoury & Full Bodied,2022
Frontera Sauvignon Blanc,"Frontera Sauvignon Blanc (Sauvignon Blanc) is a refined white wine from Chile, specifically the Aconcagua region. Produced from the 2002 vintage, it offers flavors of ginger, nuts, quince and is best described as Bold & Spicy. Alcohol content: 12.5%.",$22.00,0.75,Sauvignon Blanc,Natural Cork,Chile,"ginger, nuts, quince",White,12.5%,Aconcagua,Bold & Spicy,2002
Sensi Memorie Bianco,"Sensi Memorie Bianco (Riesling) is a refined white wine from Chile, specifically the North region. Produced from the 2011 vintage, it offers flavors of propolis, cinnamon, clove and is best described as Light & Elegant. Alcohol content: 11.0%.",$29.00,0.75,Riesling,Natural Cork,Chile,"propolis, cinnamon, clove",White,11.0%,North,Light & Elegant,2011
Sensi Memorie Rosso,"Sensi Memorie Rosso (Port) is a refined red wine from Lebanon, specifically the e region. Produced from the 2012 vintage, it offers flavors of fruit, grape, wax and is best described as Delicate & Dry. Alcohol content: 15.0%.",$44.00,0.75,Port,Natural Cork,Lebanon,"fruit, grape, wax",Red,15.0%,e,Delicate & Dry,2012
Frontera Jammy Red,"Frontera Jammy Red (Petite Sirah) is a refined red wine from Chile, specifically the Central Valley region. Produced from the 2011 vintage, it offers flavors of perfume, mango, pepper and is best described as Light & Elegant. Alcohol content: 13.5%.",$38.00,0.75,Petite Sirah,Natural Cork,Chile,"perfume, mango, pepper",Red,13.5%,Central Valley,Light & Elegant,2011
Frontera Late Harvest,"Frontera Late Harvest (Albarino) is a refined white wine from Chile, specifically the North region. Produced from the 2017 vintage, it offers flavors of mulberry, minerals, flint and is best described as Soft & Fruity. Alcohol content: 13.0%.",$27.00,0.75,Albarino,Natural Cork,Chile,"mulberry, minerals, flint",White,13.0%,North,Soft & Fruity,2017
Sensi Orvieto,"Sensi Orvieto (Orvieto) is a refined white wine from USA, specifically the California region. Produced from the 2019 vintage, it offers flavors of minerals, lemon zest, grass and is best described as Delicate & Dry. Alcohol content: 13.5%.",$58.00,0.75,Orvieto,Natural Cork,USA,"minerals, lemon zest, grass",White,13.5%,California,Delicate & Dry,2019
Maison Castel Gewurztraminer,"Maison Castel Gewurztraminer (Sauvignon Blanc) is a refined white wine from Greece, specifically the e region. Produced from the 1999 vintage, it offers flavors of raisin, flowers, fig and is best described as Light & Refreshing. Alcohol content: 13.0%.",$33.00,0.75,Sauvignon Blanc,Natural Cork,Greece,"raisin, flowers, fig",White,13.0%,e,Light & Refreshing,1999
Maison Castel Languedoc,"Maison Castel Languedoc (Petite Sirah) is a refined red wine from USA, specifically the Oregon region. Produced from the 2018 vintage, it offers flavors of pepper, almond, blackberry and is best described as Rich & Juicy. Alcohol content: 14.5%.",$46.00,0.75,Petite Sirah,Natural Cork,USA,"pepper, almond, blackberry",Red,14.5%,Oregon,Rich & Juicy,2018
Echo Falls White Zinfandel,"Echo Falls White Zinfandel (Zinfandel) is a refined rose wine from USA, specifically the Oregon region. Produced from the 1999 vintage, it offers flavors of citrus, passion fruit, hay and is best described as Bold & Spicy. Alcohol content: 14.5%.",$49.00,0.75,Zinfandel,Natural Cork,USA,"citrus, passion fruit, hay",Rose,14.5%,Oregon,Bold & Spicy,1999
Geo Kindzmarauli,"Geo Kindzmarauli (Malbec) is a refined red wine from Georgia, specifically the r region. Produced from the 2001 vintage, it offers flavors of spice, flowers, asparagus and is best described as Crisp & Zesty. Alcohol content: 15.0%.",$59.00,0.75,Malbec,Natural Cork,Georgia,"spice, flowers, asparagus",Red,15.0%,r,Crisp & Zesty,2001
Cantina di Negrar Bardolino,"Cantina di Negrar Bardolino (Bardolino) is a refined red wine from Greece, specifically the e region. Produced from the 2017 vintage, it offers flavors of almond, wax, nuts and is best described as Savoury & Full Bodied. Alcohol content: 11.5%.",$51.00,0.75,Bardolino,Natural Cork,Greece,"almond, wax, nuts",Red,11.5%,e,Savoury & Full Bodied,2017
Cantina di Negrar Soave,"Cantina di Negrar Soave (Soave) is a refined white wine from USA, specifically the California region. Produced from the 2003 vintage, it offers flavors of coconut, flowers, clove and is best described as Fresh & Elegant. Alcohol content: 12.5%.",$28.00,0.75,Soave,Natural Cork,USA,"coconut, flowers, clove",White,12.5%,California,Fresh & Elegant,2003
Settesoli Chardonnay Sicilia,"Settesoli Chardonnay Sicilia (Chardonnay) is a refined white wine from Germany, specifically the e region. Produced from the 2012 vintage, it offers flavors of chocolate, vanilla, cinnamon and is best described as Ripe & Rounded. Alcohol content: 13.0%.",$50.00,0.75,Chardonnay,Natural Cork,Germany,"chocolate, vanilla, cinnamon",White,13.0%,e,Ripe & Rounded,2012
Settesoli Nero d’Avola Sicilia,"Settesoli Nero d’Avola Sicilia (Touriga Nacional) is a refined red wine from France, specifically the Beaujolais region. Produced from the 2003 vintage, it offers flavors of blueberry, black currant, tobacco and is best described as Soft & Fruity. Alcohol content: 14.0%.",$13.00,0.75,Touriga Nacional,Natural Cork,France,"blueberry, black currant, tobacco",Red,14.0%,Beaujolais,Soft & Fruity,2003
Kumala Chenin Blanc,"Kumala Chenin Blanc (Vernaccia) is a refined white wine from Argentina, specifically the San Juan region. Produced from the 2018 vintage, it offers flavors of incense, berries, pepper and is best described as Ripe & Fruity. Alcohol content: 13.5%.",$47.53,0.75,Vernaccia,Natural Cork,Argentina,"incense, berries, pepper",White,13.5%,San Juan,Ripe & Fruity,2018
Kumala Pinotage,"Kumala Pinotage (Valpolicella) is a refined red wine from Romania, specifically the i region. Produced from the 2010 vintage, it offers flavors of earth, lemon zest, mint and is best described as Aromatic & Floral. Alcohol content: 14.0%.",$20.00,0.75,Valpolicella,Natural Cork,Romania,"earth, lemon zest, mint",Red,14.0%,i,Aromatic & Floral,2010
DaDa Art Wine №3,"DaDa Art Wine №3 (Grenache) is a refined red wine from Lebanon, specifically the a region. Produced from the 2012 vintage, it offers flavors of clove, wax, blackberry and is best described as Aromatic & Floral. Alcohol content: 14.0%.",$17.10,0.75,Grenache,Natural Cork,Lebanon,"clove, wax, blackberry",Red,14.0%,a,Aromatic & Floral,2012
Settesoli Pinot Grigio Sicilia,"Settesoli Pinot Grigio Sicilia (Orvieto) is a refined white wine from England, specifically the Surrey region. Produced from the 1998 vintage, it offers flavors of pineapple, leather, coffee and is best described as Crisp & Zesty. Alcohol content: 14.0%.",$40.00,0.75,Orvieto,Natural Cork,England,"pineapple, leather, coffee",White,14.0%,Surrey,Crisp & Zesty,1998
Settesoli Cabernet Sauvignon Sicilia,"Settesoli Cabernet Sauvignon Sicilia (Cabernet Sauvignon) is a refined red wine from Chile, specifically the Chile region. Produced from the 2011 vintage, it offers flavors of black fruit, blackberry, black fruit and is best described as Delicate & Dry. Alcohol content: 14.0%.",$43.00,0.75,Cabernet Sauvignon,Natural Cork,Chile,"black fruit, blackberry, black fruit",Red,14.0%,Chile,Delicate & Dry,2011
Jam Shed Chardonnay,"Jam Shed Chardonnay (Chardonnay) is a refined white wine from Hungary, specifically the y region. Produced from the 2009 vintage, it offers flavors of green pepper, clove, cinnamon and is best described as Soft & Fruity. Alcohol content: 13.5%.",$31.00,0.75,Chardonnay,Natural Cork,Hungary,"green pepper, clove, cinnamon",White,13.5%,y,Soft & Fruity,2009
Jam Shed Shiraz,"Jam Shed Shiraz (Primitivo) is a refined red wine from New Zealand, specifically the Marlborough region. Produced from the 2019 vintage, it offers flavors of mango, blueberry, strawberry and is best described as Rich & Juicy. Alcohol content: 13.0%.",$55.00,0.75,Primitivo,Natural Cork,New Zealand,"mango, blueberry, strawberry",Red,13.0%,Marlborough,Rich & Juicy,2019
Hardys Stamp Shiraz,"Hardys Stamp Shiraz (Amarone) is a refined red wine from Romania, specifically the R region. Produced from the 2024 vintage, it offers flavors of green apple, caramel, black fruit and is best described as Soft & Fruity. Alcohol content: 13.0%.",$6.00,0.75,Amarone,Natural Cork,Romania,"green apple, caramel, black fruit",Red,13.0%,R,Soft & Fruity,2024
Hardys Stamp Cabernet Sauvignon,"Hardys Stamp Cabernet Sauvignon (Cabernet Sauvignon) is a refined red wine from Lebanon, specifically the e region. Produced from the 2004 vintage, it offers flavors of earth, blueberry, berries and is best described as Soft & Fruity. Alcohol content: 12.0%.",$12.55,0.75,Cabernet Sauvignon,Natural Cork,Lebanon,"earth, blueberry, berries",Red,12.0%,e,Soft & Fruity,2004
Hardys Stamp Chardonnay,"Hardys Stamp Chardonnay (Chardonnay) is a refined white wine from Georgia, specifically the r region. Produced from the 2023 vintage, it offers flavors of blackberry, minerals, leather and is best described as Crisp & Zesty. Alcohol content: 12.5%.",$33.00,0.75,Chardonnay,Natural Cork,Georgia,"blackberry, minerals, leather",White,12.5%,r,Crisp & Zesty,2023
Hardys Stamp Rose,"Hardys Stamp Rose (Pinot Noir) is a refined rose wine from Lebanon, specifically the o region. Produced from the 1998 vintage, it offers flavors of honey, fruit, leather and is best described as Crisp & Fruity. Alcohol content: 13.5%.",$34.00,0.75,Pinot Noir,Natural Cork,Lebanon,"honey, fruit, leather",Rose,13.5%,o,Crisp & Fruity,1998
Banrock Station Shiraz,"Banrock Station Shiraz (Marsanne) is a refined red wine from Argentina, specifically the Mendoza region. Produced from the 2016 vintage, it offers flavors of fruit, mushrooms, nuts and is best described as Savoury & Full Bodied. Alcohol content: 11.5%.",$53.44,0.75,Marsanne,Natural Cork,Argentina,"fruit, mushrooms, nuts",Red,11.5%,Mendoza,Savoury & Full Bodied,2016
Banrock Station Chardonnay,"Banrock Station Chardonnay (Chardonnay) is a refined white wine from England, specifically the Hampshire region. Produced from the 2009 vintage, it offers flavors of sweetness, spice, tropical fruit and is best described as Crisp & Zesty. Alcohol content: 12.5%.",$7.00,0.75,Chardonnay,Natural Cork,England,"sweetness, spice, tropical fruit",White,12.5%,Hampshire,Crisp & Zesty,2009
Banrock Station Merlot,"Banrock Station Merlot (Merlot) is a refined red wine from Austria, specifically the Styria region. Produced from the 2011 vintage, it offers flavors of vanilla, spice, propolis and is best described as Savoury & Full Bodied. Alcohol content: 12.0%.",$42.18,0.75,Merlot,Natural Cork,Austria,"vanilla, spice, propolis",Red,12.0%,Styria,Savoury & Full Bodied,2011
Banrock Station Colombard Chardonnay,"Banrock Station Colombard Chardonnay (Chardonnay) is a refined white wine from Australia, specifically the New South Wales region. Produced from the 2022 vintage, it offers flavors of flowers, tobacco, spice and is best described as Light & Elegant. Alcohol content: 11.5%.",$34.00,0.75,Chardonnay,Natural Cork,Australia,"flowers, tobacco, spice",White,11.5%,New South Wales,Light & Elegant,2022
Sensi Collezione Chardonnay,"Sensi Collezione Chardonnay (Chardonnay) is a refined white wine from Hungary, specifically the H region. Produced from the 2008 vintage, it offers flavors of black currant, peanut, grape and is best described as Rich & Toasty. Alcohol content: 13.0%.",$47.00,0.75,Chardonnay,Natural Cork,Hungary,"black currant, peanut, grape",White,13.0%,H,Rich & Toasty,2008
Sensi Collezione Sangiovese,"Sensi Collezione Sangiovese (Sangiovese) is a refined red wine from Argentina, specifically the San Juan region. Produced from the 2012 vintage, it offers flavors of flowers, oak, minerals and is best described as Rich & Juicy. Alcohol content: 14.0%.",$50.26,0.75,Sangiovese,Natural Cork,Argentina,"flowers, oak, minerals",Red,14.0%,San Juan,Rich & Juicy,2012
Sensi Chianti Dalcampo,"Sensi Chianti Dalcampo (Roussanne) is a refined red wine from Argentina, specifically the San Juan region. Produced from the 2021 vintage, it offers flavors of vanilla, grass, fruit and is best described as Soft & Fruity. Alcohol content: 13.5%.",$22.00,0.75,Roussanne,Natural Cork,Argentina,"vanilla, grass, fruit",Red,13.5%,San Juan,Soft & Fruity,2021
Fish Hoek Pinotage,"Fish Hoek Pinotage (Marsala) is a refined red wine from South Africa, specifically the Constantia region. Produced from the 2012 vintage, it offers flavors of raisin, perfume, citrus and is best described as Smooth & Mellow. Alcohol content: 14.0%.",$15.00,0.75,Marsala,Natural Cork,South Africa,"raisin, perfume, citrus",Red,14.0%,Constantia,Smooth & Mellow,2012
Banrock Station Shiraz Mataro,"Banrock Station Shiraz Mataro (Port) is a refined red wine from Georgia, specifically the l region. Produced from the 2012 vintage, it offers flavors of asparagus, spice, almond and is best described as Aromatic & Floral. Alcohol content: 12.0%.",$25.85,0.75,Port,Natural Cork,Georgia,"asparagus, spice, almond",Red,12.0%,l,Aromatic & Floral,2012
